roof,projects,attach_rate,pv_dc_kw_median,dc_ac_ratio_median
Colorbond,24458.0,0.10524163872761469,6.64,1.3199999999999998
Other,1676.0,0.12350835322195704,7.48,1.3199999999999998
Tile,18342.0,0.09093882891723912,6.64,1.3199999999999998
,12306.0,0.20875995449374288,8.8,1.3199999999999998
