state,attach_rate_post,attach_rate_pre,battery_kwh_median_all_post,battery_kwh_median_all_pre,dc_ac_ratio_median_post,dc_ac_ratio_median_pre,projects_post,projects_pre,pv_dc_kw_median_post,pv_dc_kw_median_pre,attach_rate_delta,pv_dc_kw_median_delta,dc_ac_ratio_median_delta,battery_kwh_median_all_delta
ACT,0.7928571428571428,0.2558139534883721,23.4,12.8,1.3221606606606606,1.3199999999999998,140.0,172.0,13.2,13.2,0.5370431893687707,0.0,0.0021606606606607848,10.599999999999998
NSW,0.6383623957543594,0.1056338028169014,15.6,12.8,1.3199999999999998,1.3199999999999998,1319.0,3692.0,10.12,8.8,0.532728592937458,1.3199999999999985,0.0,2.799999999999999
QLD,0.5227817745803357,0.03768844221105527,16.0,12.8,1.3199999999999998,1.3199999999999998,834.0,3184.0,10.56,10.12,0.48509333236928043,0.4400000000000013,0.0,3.1999999999999993
SA,0.8865248226950354,0.2737160120845921,9.6,9.6,1.32,1.3199999999999998,987.0,1655.0,8.8,8.8,0.6128088106104432,0.0,2.220446049250313e-16,0.0
TAS,0.6666666666666666,0.10714285714285714,14.9,9.0,1.0,1.318,15.0,28.0,8.8,7.92,0.5595238095238095,0.8800000000000008,-0.31800000000000006,5.9
VIC,0.5540229885057472,0.07166123778501629,16.5,9.6,1.3199999999999998,1.3199999999999998,435.0,1842.0,8.8,6.65,0.48236175072073084,2.1500000000000004,0.0,6.9
WA,0.6352941176470588,0.05030355594102342,9.9,9.6,1.3199999999999998,1.3199999999999998,680.0,3459.0,6.65,6.6,0.5849905617060354,0.05000000000000071,0.0,0.3000000000000007
