install_month,threshold_kwh,share_ge,projects
2023-01,10.0,0.0,4
2023-01,13.5,0.0,4
2023-01,20.0,0.0,4
2023-02,10.0,0.0,2
2023-02,13.5,0.0,2
2023-02,20.0,0.0,2
2023-03,10.0,0.0,3
2023-03,13.5,0.0,3
2023-03,20.0,0.0,3
2023-04,10.0,0.25,4
2023-04,13.5,0.25,4
2023-04,20.0,0.25,4
2023-05,10.0,0.0,4
2023-05,13.5,0.0,4
2023-05,20.0,0.0,4
2023-06,10.0,0.0,4
2023-06,13.5,0.0,4
2023-06,20.0,0.0,4
2023-07,10.0,0.0,5
2023-07,13.5,0.0,5
2023-07,20.0,0.0,5
2023-08,10.0,0.08333333333333333,12
2023-08,13.5,0.0,12
2023-08,20.0,0.0,12
2023-09,10.0,0.0,35
2023-09,13.5,0.0,35
2023-09,20.0,0.0,35
2023-10,10.0,0.06060606060606061,66
2023-10,13.5,0.030303030303030304,66
2023-10,20.0,0.0,66
2023-11,10.0,0.03225806451612903,155
2023-11,13.5,0.025806451612903226,155
2023-11,20.0,0.0,155
2023-12,10.0,0.03441295546558704,988
2023-12,13.5,0.01417004048582996,988
2023-12,20.0,0.0010121457489878543,988
2024-01,10.0,0.017334360554699536,2596
2024-01,13.5,0.00963020030816641,2596
2024-01,20.0,0.0015408320493066256,2596
2024-02,10.0,0.017810880829015545,3088
2024-02,13.5,0.006800518134715026,3088
2024-02,20.0,0.0,3088
2024-03,10.0,0.01890831252229754,2803
2024-03,13.5,0.010346057795219408,2803
2024-03,20.0,0.0007135212272565109,2803
2024-04,10.0,0.023566654941962716,2843
2024-04,13.5,0.008441786844882167,2843
2024-04,20.0,0.00035174111853675694,2843
2024-05,10.0,0.025367992483557783,3193
2024-05,13.5,0.009708737864077669,3193
2024-05,20.0,0.0006263701847792045,3193
2024-06,10.0,0.027331738981892725,2927
2024-06,13.5,0.016057396651861976,2927
2024-06,20.0,0.0020498804236419544,2927
2024-07,10.0,0.024507042253521127,3550
2024-07,13.5,0.011267605633802818,3550
2024-07,20.0,0.0016901408450704226,3550
2024-08,10.0,0.028051787916152898,3244
2024-08,13.5,0.013871763255240444,3244
2024-08,20.0,0.0027743526510480886,3244
2024-09,10.0,0.027724049000644745,3102
2024-09,13.5,0.011927788523533205,3102
2024-09,20.0,0.003223726627981947,3102
2024-10,10.0,0.028160200250312892,3196
2024-10,13.5,0.012202753441802253,3196
2024-10,20.0,0.0025031289111389237,3196
2024-11,10.0,0.04164057608015028,3194
2024-11,13.5,0.025986224170319348,3194
2024-11,20.0,0.004383218534752661,3194
2024-12,10.0,0.049367850692354005,3322
2024-12,13.5,0.030704394942805538,3322
2024-12,20.0,0.003612281757977122,3322
2025-01,10.0,0.04103214890016921,2364
2025-01,13.5,0.027918781725888325,2364
2025-01,20.0,0.005922165820642978,2364
2025-02,10.0,0.04157549234135667,2742
2025-02,13.5,0.028081692195477754,2742
2025-02,20.0,0.005835156819839533,2742
2025-03,10.0,0.04794007490636704,2670
2025-03,13.5,0.028089887640449437,2670
2025-03,20.0,0.0048689138576779025,2670
2025-04,10.0,0.05316886431305827,2351
2025-04,13.5,0.033602722245852826,2351
2025-04,20.0,0.008507018290089324,2351
2025-05,10.0,0.026126126126126126,2220
2025-05,13.5,0.016216216216216217,2220
2025-05,20.0,0.004954954954954955,2220
2025-06,10.0,0.024925816023738872,1685
2025-06,13.5,0.01661721068249258,1685
2025-06,20.0,0.006528189910979229,1685
2025-07,10.0,0.38599517074853396,2899
2025-07,13.5,0.3163159710244912,2899
2025-07,20.0,0.14384270438082097,2899
2025-08,10.0,0.4923891462607545,1511
2025-08,13.5,0.42223692918596956,1511
2025-08,20.0,0.2415618795499669,1511
