install_month,band,n,share
2024-05,Other,53,0.01659880989664892
2024-06,13-14,21,0.00717458148274684
2024-06,20-30,6,0.0020498804236419544
2024-06,4-6,19,0.006491288008199521
2024-06,9-10,87,0.029723266142808336
2024-06,NoBattery,2728,0.9320122992825418
2024-06,Other,66,0.022548684660061498
2024-07,13-14,41,0.011549295774647887
2024-07,20-30,5,0.0014084507042253522
2024-07,30+,1,0.00028169014084507044
2024-07,4-6,31,0.008732394366197183
2024-07,9-10,109,0.030704225352112677
2024-07,NoBattery,3301,0.9298591549295775
2024-07,Other,62,0.017464788732394366
2024-08,13-14,29,0.008939580764488286
2024-08,20-30,8,0.002466091245376079
2024-08,30+,1,0.00030826140567200987
2024-08,4-6,27,0.008323057953144267
2024-08,9-10,98,0.03020961775585697
2024-08,NoBattery,3015,0.9294081381011098
2024-08,Other,66,0.020345252774352653
2024-09,13-14,30,0.009671179883945842
2024-09,20-30,9,0.0029013539651837525
2024-09,30+,1,0.0003223726627981947
2024-09,4-6,21,0.006769825918762089
2024-09,9-10,100,0.032237266279819474
2024-09,NoBattery,2878,0.9277885235332044
2024-09,Other,63,0.020309477756286266
2024-10,13-14,37,0.011576971214017523
2024-10,20-30,6,0.0018773466833541927
2024-10,30+,2,0.0006257822277847309
2024-10,4-6,30,0.009386733416770964
2024-10,9-10,99,0.03097622027534418
2024-10,NoBattery,2956,0.9249061326658323
2024-10,Other,66,0.02065081351689612
2024-11,13-14,73,0.022855353788353162
2024-11,20-30,13,0.004070131496556042
2024-11,30+,1,0.00031308703819661864
2024-11,4-6,23,0.007201001878522229
2024-11,9-10,107,0.0335003130870382
2024-11,NoBattery,2905,0.9095178459611772
2024-11,Other,72,0.022542266750156543
2024-12,13-14,73,0.02197471402769416
2024-12,20-30,12,0.003612281757977122
2024-12,4-6,32,0.00963275135460566
2024-12,9-10,126,0.037928958458759786
2024-12,NoBattery,2974,0.8952438290186635
2024-12,Other,105,0.03160746538229982
2025-01,13-14,50,0.021150592216582064
2025-01,20-30,11,0.004653130287648054
2025-01,30+,3,0.0012690355329949238
2025-01,4-6,24,0.01015228426395939
2025-01,9-10,92,0.038917089678511
2025-01,NoBattery,2129,0.9005922165820643
2025-01,Other,55,0.023265651438240272
2025-02,13-14,51,0.018599562363238512
2025-02,20-30,15,0.005470459518599562
2025-02,30+,1,0.00036469730123997083
2025-02,4-6,21,0.007658643326039387
2025-02,9-10,122,0.04449307075127644
2025-02,NoBattery,2467,0.899708242159008
2025-02,Other,65,0.023705324580598104
2025-03,13-14,53,0.019850187265917602
2025-03,20-30,13,0.0048689138576779025
2025-03,4-6,14,0.0052434456928838954
2025-03,9-10,149,0.05580524344569288
2025-03,NoBattery,2345,0.8782771535580525
2025-03,Other,96,0.035955056179775284
2025-04,13-14,46,0.019566142067205444
2025-04,20-30,19,0.008081667375584857
2025-04,30+,1,0.0004253509145044662
2025-04,4-6,19,0.008081667375584857
2025-04,9-10,95,0.040408336877924285
2025-04,NoBattery,2091,0.8894087622288388
2025-04,Other,80,0.034028073160357296
2025-05,13-14,16,0.007207207207207207
2025-05,20-30,10,0.0045045045045045045
