state,projects,attach_rate,pv_dc_kw_median,dc_ac_ratio_median
ACT,959.0,0.2909280500521376,10.92,1.3199999999999998
NSW,15912.0,0.10947712418300654,9.24,1.3199999999999998
NT,1.0,1.0,14.96,2.992
QLD,11114.0,0.07477055965448984,9.68,1.3199999999999998
SA,6868.0,0.3286255096097845,8.36,1.3199999999999998
TAS,100.0,0.18,7.92,1.318
VIC,9082.0,0.09039859061880642,6.64,1.3199999999999998
WA,12746.0,0.08386944923897693,6.6,1.3199999999999998
