pvd_id,state,install_month,pv_dc_kw,pv_ac_kw,battery_kwh,stc_count,stc_price,stc_value,battery_rebate,price_base,price_net,annual_generation_kwh,annual_savings_aud,payback_years_net
259029,SA,2024-04,13.3,5.0,13.5,128.0,35.0,4480.0,0.0,33325.7925,28845.792500000003,19950.0,5346.6,5.395165619272061
260095,WA,2024-01,6.64,5.0,,64.0,35.0,2240.0,0.0,,,10624.0,1296.128,
260255,NSW,2023-12,6.29,5.0,,69.0,35.0,2415.0,0.0,,,8806.0,1338.5120000000002,
260710,NSW,2023-03,6.64,5.0,,73.0,35.0,2555.0,0.0,,,9296.0,1412.992,
260759,NSW,2024-03,14.73,10.0,9.6,142.0,35.0,4970.0,0.0,32102.81925,27132.81925,20622.0,5114.256,5.30533067761958
260900,SA,2023-12,6.64,5.0,,73.0,35.0,2555.0,0.0,,,9960.0,1713.1200000000001,
261007,VIC,2024-02,3.32,1000.0,,27.0,35.0,945.0,0.0,,,4316.0,574.028,
261121,SA,2024-08,13.28,10.0,13.34,128.0,35.0,4480.0,0.0,33637.5,29157.5,19920.0,5338.56,5.461678804771323
261314,NSW,2023-02,6.64,5.0,,73.0,35.0,2555.0,0.0,,,9296.0,1412.992,
261525,NSW,2023-12,9.36,8.0,,103.0,35.0,3605.0,0.0,,,13104.0,1991.808,
262301,NSW,2023-08,24.96,20.0,,275.0,35.0,9625.0,0.0,,,34944.0,5311.488,
262405,WA,2024-03,13.28,10.0,,128.0,35.0,4480.0,0.0,,,21248.0,2592.256,
263147,NSW,2024-06,12.45,5.0,15.0,120.0,35.0,4200.0,0.0,33821.12625,29621.12625,17430.0,4322.64,6.852554515296208
263242,NSW,2023-10,12.45,10.0,,137.0,35.0,4795.0,0.0,,,17430.0,2649.36,
263503,WA,2024-08,6.64,5.0,,64.0,35.0,2240.0,0.0,,,10624.0,1296.128,
263507,SA,2023-12,7.48,6.0,,82.0,35.0,2870.0,0.0,,,11220.0,1929.8400000000001,
263796,NSW,2025-03,15.77,6.0,,130.0,35.0,4550.0,0.0,,,22078.0,3355.8559999999998,
264075,SA,2024-02,6.4,5.0,,61.0,35.0,2135.0,0.0,,,9600.0,1651.2,
264804,WA,2024-03,13.12,10.0,,126.0,35.0,4410.0,0.0,,,20992.0,2561.024,
264918,NSW,2023-03,6.64,5.0,,73.0,35.0,2555.0,0.0,,,9296.0,1412.992,
265037,WA,2024-04,6.65,5.0,,64.0,35.0,2240.0,0.0,,,10640.0,1298.08,
265182,NSW,2023-12,20.0,20.0,12.8,221.0,35.0,7735.0,0.0,44039.25,36304.25,28000.0,6944.0,5.228146601382488
265410,SA,2024-02,13.28,5.0,,128.0,35.0,4480.0,0.0,,,19920.0,3426.2400000000002,
266477,SA,2024-02,17.6,15.0,,170.0,35.0,5950.0,0.0,,,26400.000000000004,4540.800000000001,
267286,QLD,2024-01,6.64,5.0,13.34,64.0,35.0,2240.0,0.0,24876.984,22636.984,9960.0,2300.7599999999998,9.8389158365062
267345,WA,2024-07,6.64,5.0,,64.0,35.0,2240.0,0.0,,,10624.0,1296.128,
267422,WA,2024-04,15.84,6.0,,153.0,35.0,5355.0,0.0,,,25344.0,3091.968,
267829,VIC,2023-04,6.65,5.0,,62.0,35.0,2170.0,0.0,,,8645.0,1149.785,
267950,WA,2024-01,10.38,8.0,,100.0,35.0,3500.0,0.0,,,16608.0,2026.176,
268339,SA,2023-04,4.98,4.0,,55.0,35.0,1925.0,0.0,,,7470.000000000001,1284.8400000000001,
268557,ACT,2024-01,18.26,15.0,,176.0,35.0,6160.0,0.0,,,25564.000000000004,3732.3440000000005,
268664,ACT,2024-04,13.3,5.0,9.7,128.0,35.0,4480.0,0.0,29392.792500000003,24912.792500000003,18620.0,4357.08,5.717772567866554
269035,NSW,2024-02,6.64,5.0,9.07,64.0,35.0,2240.0,0.0,20457.534,18217.534,9296.0,2305.408,7.902086745599911
269083,SA,2023-12,6.24,5.0,,68.0,35.0,2380.0,0.0,,,9360.0,1609.92,
269254,SA,2025-01,7.92,5.0,9.6,65.0,36.0,2340.0,0.0,22598.051999999996,20258.051999999996,11880.0,3183.84,6.362773254937433
270187,SA,2023-12,6.64,5.0,,73.0,35.0,2555.0,0.0,,,9960.0,1713.1200000000001,
270189,SA,2023-12,6.64,5.0,,73.0,35.0,2555.0,0.0,,,9960.0,1713.1200000000001,
270191,SA,2024-04,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
270207,SA,2024-01,14.96,15.0,,144.0,35.0,5040.0,0.0,,,22440.0,3859.6800000000003,
270238,WA,2024-04,6.6,5.0,,63.0,35.0,2205.0,0.0,,,10560.0,1288.32,
270305,NSW,2023-06,10.0,10.0,,110.0,35.0,3850.0,0.0,,,14000.0,2128.0,
270328,ACT,2024-06,15.4,15.0,,148.0,35.0,5180.0,0.0,,,21560.0,3147.76,
270440,ACT,2023-05,10.12,5.0,9.6,111.0,35.0,3885.0,0.0,25334.246999999996,21449.246999999996,14167.999999999998,3315.3119999999994,6.469752168121733
270682,NSW,2023-05,6.63,5.0,,73.0,35.0,2555.0,0.0,,,9282.0,1410.864,
270683,WA,2024-05,6.64,5.0,,64.0,35.0,2240.0,0.0,,,10624.0,1296.128,
270812,SA,2024-01,6.64,5.0,4.79,64.0,35.0,2240.0,0.0,16027.733999999999,13787.733999999999,9960.0,2669.28,5.165338218545824
270833,SA,2023-12,6.64,5.0,,73.0,35.0,2555.0,0.0,,,9960.0,1713.1200000000001,
270936,SA,2024-02,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
270962,WA,2024-04,13.28,10.0,,128.0,35.0,4480.0,0.0,,,21248.0,2592.256,
271004,ACT,2023-05,13.28,10.0,,146.0,35.0,5110.0,0.0,,,18592.0,2714.432,
271014,ACT,2024-07,12.45,10.0,,120.0,35.0,4200.0,0.0,,,17430.0,2544.78,
271092,WA,2024-07,6.64,5.0,,64.0,35.0,2240.0,0.0,,,10624.0,1296.128,
