install_month,projects,attach_rate,pv_dc_kw_median,dc_ac_ratio_median,battery_kwh_median_all,battery_kwh_median_batt
2023-01,4,0.0,11.565,1.3141249999999998,,
2023-02,2,0.0,6.225,1.2449999999999999,,
2023-03,3,0.0,6.64,1.3279999999999998,,
2023-04,4,0.25,5.815,1.2875,28.73,28.73
2023-05,4,0.25,11.7,1.676,9.6,9.6
2023-06,4,0.0,8.100000000000001,1.0533333333333335,,
2023-07,5,0.0,9.13,1.2975,,
2023-08,12,0.16666666666666666,10.885000000000002,1.3199999999999998,10.32,10.32
2023-09,35,0.14285714285714285,6.65,1.3188235294117647,9.07,9.07
2023-10,66,0.10606060606060606,6.64,1.3199999999999998,12.8,12.8
2023-11,155,0.06451612903225806,6.65,1.3199999999999998,10.32,10.32
2023-12,988,0.07793522267206478,6.65,1.3199999999999998,9.6,9.6
2024-01,2596,0.05046224961479199,6.64,1.3199999999999998,9.6,9.6
2024-02,3088,0.044689119170984455,6.64,1.3199999999999998,9.6,9.6
2024-03,2803,0.06742775597574027,6.64,1.3199999999999998,9.6,9.6
2024-04,2843,0.06999648258881463,6.64,1.3199999999999998,9.6,9.6
2024-05,3193,0.06796116504854369,6.64,1.3199999999999998,9.6,9.6
2024-06,2927,0.06798770071745815,6.64,1.3199999999999998,9.6,9.6
2024-07,3550,0.07014084507042254,6.64,1.3199999999999998,9.6,9.6
2024-08,3244,0.07059186189889026,6.64,1.3199999999999998,9.6,9.6
2024-09,3102,0.07221147646679561,6.65,1.3199999999999998,9.6,9.6
2024-10,3196,0.07509386733416772,6.64,1.3199999999999998,9.6,9.6
2024-11,3194,0.09048215403882279,6.6,1.3199999999999998,9.6,9.6
2024-12,3322,0.10475617098133655,7.92,1.3199999999999998,9.649999999999999,9.649999999999999
2025-01,2364,0.0994077834179357,6.6000000000000005,1.3199999999999998,9.6,9.6
2025-02,2742,0.10029175784099198,6.65,1.3199999999999998,9.6,9.6
2025-03,2670,0.12172284644194757,6.65,1.3199999999999998,9.6,9.6
2025-04,2351,0.11059123777116121,7.04,1.3199999999999998,9.7,9.7
2025-05,2220,0.062162162162162166,6.65,1.3199999999999998,9.6,9.6
2025-06,1685,0.04925816023738872,6.6,1.3199999999999998,10.0,10.0
2025-07,2899,0.6343566747154191,9.68,1.3199999999999998,13.37,13.37
2025-08,1511,0.7332892124420913,9.68,1.3199999999999998,15.6,15.6
