小时辐射/月,1 月,2 月,3 月,4 月,5 月,6 月,7 月,8 月,9 月,10 月,11 月,12 月
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0.004334275528,0,0,0,0,0,0,0,0,0.0021655567164,0.0086518844192,0.00978492914784
7,0.021357109928,0.0130641009114,0.005325754203,0.00048972176352,0,0,0,0,0.0058629353024,0.0176386985544,0.0262216552224,0.02637338908688
8,0.058306481442,0.043977000375,0.03161300066276,0.02116346204434,0.01043607308128,0.0039120792326,0.0038649862933,0.0141271662345,0.0381401917402,0.0643996945284,0.0803905681568,0.07634473187088
9,0.115228220778,0.101490540294,0.08614872370148,0.07141435633442,0.055322115156,0.04360064234988,0.04208502115422,0.06217339858884,0.0937758525638,0.1227877489608,0.139429363216,0.13592880525664
10,0.172758853806,0.1608234715428,0.14222976081688,0.12416827297138,0.10390312813188,0.09140417336204,0.08828460619198,0.11657772244602,0.1501754925748,0.1779547939554,0.1949555682272,0.19421632488368
11,0.225329949504,0.2148289033176,0.19122669948448,0.1681548097031,0.14684606628538,0.13239791689586,0.13192602092978,0.16307083321188,0.1966019201168,0.2205417989082,0.2396984628192,0.24375548308144
12,0.264767273738,0.2571406412784,0.22677230467936,0.19770475694772,0.17436028121204,0.16077260839178,0.16112659898786,0.19333243666242,0.2246340795314,0.2506170779112,0.27273727096,0.2819666781008
13,0.288121293086,0.282223446978,0.2448663432446,0.20851264420096,0.1825800547417,0.1714217727453,0.171931228832,0.20452669918296,0.2329894537212,0.2586269051982,0.2836945057408,0.30059450905616
14,0.289280155274,0.2838451512204,0.24334131775536,0.20181637925394,0.17275184193806,0.1604298687068,0.16357037955896,0.19333937024094,0.2216438442504,0.2467300060764,0.273692149808,0.29666095403296
15,0.266332065054,0.259120862781,0.21854866390368,0.17340571527862,0.14228028431232,0.13103042017296,0.13775643074622,0.1632337723071,0.1889966974368,0.2160159903132,0.241055754896,0.26675918297248
16,0.226446254606,0.2174926530546,0.17601702176696,0.1313066478438,0.09929978175964,0.08989819595834,0.09642707507356,0.1205749304628,0.1447101030034,0.1708228027506,0.1936903537536,0.22129539036528
17,0.169256078266,0.159757971648,0.12065284807444,0.077879363782,0.04818146436642,0.04113568623164,0.04859483663298,0.06916937931552,0.0886596118518,0.1123732656354,0.1334647806976,0.16126900306704
18,0.103325331186,0.0921422865,0.05786305137888,0.01616421904174,0,0,0,0.00534578903892,0.0343721495942,0.0507266290146,0.069757310128,0.0943040272944
19,0.039908725802,0.0297736857396,0.00212353881872,0,0,0,0,0,0,0.0002288522082,0.0137161525952,0.0330216035424
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
