小时辐射/月,1 月,2 月,3 月,4 月,5 月,6 月,7 月,8 月,9 月,10 月,11 月,12 月
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0.004334275528,0,0,0,0,0,0,0,0,0.0021655567164,0.0086518844192,0.00978492914784
7,0.02075476348,0.0130641009114,0.005325754203,0.00048972176352,0,0,0,0,0.0058629353024,0.0183662436342,0.026395579584,0.02837224279824
8,0.052243733498,0.0318845817576,0.02301740245068,0.01459302838378,0.0069152643945,0.00333392239026,0.00378872647406,0.01011955784994,0.0225425714074,0.0392601086724,0.0661048985344,0.07049673418832
9,0.098329784014,0.0740589439458,0.04638309231908,0.02918605676756,0.02165416865458,0.01666614993428,0.01743923411802,0.0245795358534,0.0422055289546,0.0835378874022,0.1141114326176,0.11935385108592
10,0.146402923084,0.1221237112128,0.09034846130156,0.05882442599726,0.03277323081186,0.02738109261118,0.02725248631204,0.04405942470534,0.0858318517826,0.1298685045966,0.1615825524896,0.16891326793616
11,0.192557719662,0.1683322302354,0.13190625124116,0.09572360054026,0.0656011007498,0.04912948353082,0.05241476030582,0.08135861035368,0.1264921377654,0.1690534677678,0.2027378308384,0.21378618317936
12,0.230590660058,0.2077858820004,0.1657915736972,0.12480763194042,0.09216254591544,0.07479341570008,0.07894277833508,0.11131166956008,0.1563875767366,0.1998904488966,0.2363086429088,0.25170362773776
13,0.25783046872,0.2358406952682,0.18774044387604,0.14169963193628,0.10721904009586,0.09085025063884,0.09506826374892,0.128964560472,0.1722686644602,0.2149297962504,0.2539363884992,0.27608491599744
14,0.268908405568,0.2469982885062,0.19510520111676,0.145046063987,0.10904262092878,0.09276128403388,0.0978898770608,0.13093369677168,0.172742262418,0.2142773966718,0.2554778357824,0.28352659434176
15,0.260491923406,0.2373953869386,0.18448074416068,0.13150049604186,0.09499695058084,0.08060268025964,0.08754973884294,0.11714627588466,0.1556028560328,0.1978751831826,0.2376011396352,0.26897075253488
16,0.237278669804,0.2125906834128,0.15822731201332,0.10527997662006,0.06940534990312,0.05730330571504,0.06416917153504,0.09139149847212,0.126713380607,0.167967273705,0.205759340336,0.24011905496128
17,0.195785510954,0.171099849459,0.11826217618776,0.0670986832934,0.03456266219098,0.02517578776944,0.03272586152022,0.05563850083374,0.0848466297536,0.1230712524426,0.1585917355264,0.19471603831152
18,0.139858952706,0.114340200975,0.06580941479288,0.01654851459228,0,0,0,0.00527992004298,0.0392498628676,0.0681398910654,0.1008147446592,0.13540545673424
19,0.074386512706,0.0523334681034,0.00316840107188,0,0,0,0,0,0,0.0002288522082,0.0335844531968,0.06925420350288
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
