projectId,designId,designName,panelIndex,month,power
524,763,customFit,0,1,67.572383398828
524,763,customFit,0,2,52.8597446363448
524,763,customFit,0,3,42.642553081392
524,763,customFit,0,4,27.9239349559104
524,763,customFit,0,5,19.66432096099856
524,763,customFit,0,6,15.5399211775038
524,763,customFit,0,7,17.27446784584114
524,763,customFit,0,8,24.82428077478822
524,763,customFit,0,9,35.722387742646
524,763,customFit,0,10,50.4875877595782
524,763,customFit,0,11,61.849753770816
524,763,customFit,0,12,72.2451234261856
524,763,customFit,1,1,67.238811137894
524,763,customFit,1,2,56.6652679775952
524,763,customFit,1,3,51.57736294974384
524,763,customFit,1,4,38.780862402414
524,763,customFit,1,5,32.31064572563058
524,763,customFit,1,6,27.3447068122998
524,763,customFit,1,7,29.1847888091419
524,763,customFit,1,8,38.19027529257336
524,763,customFit,1,9,46.641655343844
524,763,customFit,1,10,57.3903510286722
524,763,customFit,1,11,64.286638693728
524,763,customFit,1,12,71.30958560754335
524,763,customFit,2,1,69.587314107938
524,763,customFit,2,2,59.2390600379424
524,763,customFit,2,3,54.1485998832086
524,763,customFit,2,4,41.7654104749662
524,763,customFit,2,5,35.21479382052632
524,763,customFit,2,6,30.780100921416
524,763,customFit,2,7,32.41258271642666
524,763,customFit,2,8,40.4696164284489
524,763,customFit,2,9,48.616869950616
524,763,customFit,2,10,59.2605244426734
524,763,customFit,2,11,65.1346734192
524,763,customFit,2,12,72.61052536452527
524,764,mostPopular,0,1,67.572383398828
524,764,mostPopular,0,2,52.8597446363448
524,764,mostPopular,0,3,42.642553081392
524,764,mostPopular,0,4,27.9239349559104
524,764,mostPopular,0,5,19.66432096099856
524,764,mostPopular,0,6,15.5399211775038
524,764,mostPopular,0,7,17.27446784584114
524,764,mostPopular,0,8,24.82428077478822
524,764,mostPopular,0,9,35.722387742646
524,764,mostPopular,0,10,50.4875877595782
524,764,mostPopular,0,11,61.849753770816
524,764,mostPopular,0,12,72.2451234261856
524,764,mostPopular,1,1,67.238811137894
524,764,mostPopular,1,2,56.6652679775952
524,764,mostPopular,1,3,51.57736294974384
524,764,mostPopular,1,4,38.780862402414
524,764,mostPopular,1,5,32.31064572563058
524,764,mostPopular,1,6,27.3447068122998
524,764,mostPopular,1,7,29.1847888091419
524,764,mostPopular,1,8,38.19027529257336
524,764,mostPopular,1,9,46.641655343844
524,764,mostPopular,1,10,57.3903510286722
524,764,mostPopular,1,11,64.286638693728
524,764,mostPopular,1,12,71.30958560754335
524,764,mostPopular,2,1,69.587314107938
524,764,mostPopular,2,2,59.2390600379424
524,764,mostPopular,2,3,54.1485998832086
524,764,mostPopular,2,4,41.7654104749662
524,764,mostPopular,2,5,35.21479382052632
524,764,mostPopular,2,6,30.780100921416
524,764,mostPopular,2,7,32.41258271642666
524,764,mostPopular,2,8,40.4696164284489
524,764,mostPopular,2,9,48.616869950616
524,764,mostPopular,2,10,59.2605244426734
524,764,mostPopular,2,11,65.1346734192
524,764,mostPopular,2,12,72.61052536452527
524,765,maxValue,0,1,67.572383398828
524,765,maxValue,0,2,52.8597446363448
524,765,maxValue,0,3,42.642553081392
524,765,maxValue,0,4,27.9239349559104
524,765,maxValue,0,5,19.66432096099856
524,765,maxValue,0,6,15.5399211775038
524,765,maxValue,0,7,17.27446784584114
524,765,maxValue,0,8,24.82428077478822
524,765,maxValue,0,9,35.722387742646
524,765,maxValue,0,10,50.4875877595782
524,765,maxValue,0,11,61.849753770816
524,765,maxValue,0,12,72.2451234261856
524,765,maxValue,1,1,67.238811137894
524,765,maxValue,1,2,56.6652679775952
524,765,maxValue,1,3,51.57736294974384
524,765,maxValue,1,4,38.780862402414
524,765,maxValue,1,5,32.31064572563058
524,765,maxValue,1,6,27.3447068122998
524,765,maxValue,1,7,29.1847888091419
524,765,maxValue,1,8,38.19027529257336
524,765,maxValue,1,9,46.641655343844
524,765,maxValue,1,10,57.3903510286722
524,765,maxValue,1,11,64.286638693728
524,765,maxValue,1,12,71.30958560754335
524,765,maxValue,2,1,69.587314107938
524,765,maxValue,2,2,59.2390600379424
524,765,maxValue,2,3,54.1485998832086
524,765,maxValue,2,4,41.7654104749662
524,765,maxValue,2,5,35.21479382052632
524,765,maxValue,2,6,30.780100921416
524,765,maxValue,2,7,32.41258271642666
524,765,maxValue,2,8,40.4696164284489
524,765,maxValue,2,9,48.616869950616
524,765,maxValue,2,10,59.2605244426734
524,765,maxValue,2,11,65.1346734192
524,765,maxValue,2,12,72.61052536452527
