projectId,designId,designName,systemSize,panelIndex,annualGeneratePower
524,763,customFit,10.12,0,488.6064595308327
524,763,customFit,10.12,1,580.9209517810802
524,763,customFit,10.12,2,609.2400715678878
524,764,mostPopular,10.12,0,488.6064595308327
524,764,mostPopular,10.12,1,580.9209517810802
524,764,mostPopular,10.12,2,609.2400715678878
524,765,maxValue,10.12,0,488.6064595308327
524,765,maxValue,10.12,1,580.9209517810802
524,765,maxValue,10.12,2,609.2400715678878
