小时辐射/月,1 月,2 月,3 月,4 月,5 月,6 月,7 月,8 月,9 月,10 月,11 月,12 月
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.024025111858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012426333334800001,0.0567402652608,0.05710914134112
7,0.114566949134,0.077969127522,0.0400192387254,0.0014827686728800002,0.0,0.0,0.0,0.0,0.0446150017764,0.1102145403282,0.1505230092608,0.14963716010144001
8,0.24309916972,0.1898399152188,0.146331436911,0.10361356228586,0.06461418153498,0.02218114304714,0.026971711523019998,0.08794550994768,0.1644905958102,0.24220419748139999,0.3061546203584,0.30441326504863997
9,0.403133454812,0.3503551289304,0.28401655414132,0.22681259426694,0.17754642525158001,0.14430725544466,0.1416699460154,0.20345546130161998,0.2957809377028,0.39864346816140006,0.46589903106560004,0.46908234529023995
10,0.555507464424,0.5068696920936,0.42962098333572,0.35292615091008,0.27858441420964003,0.24639867534743998,0.24025656051562,0.32462321272788,0.43825095693500005,0.5381476754346,0.6077019502751999,0.62106950907936
11,0.687352590474,0.6415180530132,0.54942171073768,0.45785584043540006,0.37956093415086,0.3333056886005,0.33786912914282,0.43486711119587995,0.5483227275504,0.638104854849,0.7143278147807999,0.74198665284832
12,0.7773673746080001,0.7387868012712,0.62864526325964,0.52131221811262,0.43749889746794,0.39317434892736003,0.40071068655200004,0.49934245785336,0.6064784826166,0.701671117455,0.7860767293632,0.8279002215739201
13,0.8204613346159999,0.7858162243008,0.65879072276424,0.5345517099555599,0.44522691886288,0.40707780927967996,0.41534217277982,0.51302587506258,0.6118505353642001,0.704711094549,0.7957858010784,0.85748460707888
14,0.802845974634,0.7689960687288,0.63601002050036,0.5017573560276201,0.40739615394324,0.36810934570256004,0.38182944857926004,0.47092171949988,0.5662399408006,0.6553883201249999,0.7501289510176,0.82619511832352
15,0.723139826178,0.6853275219582,0.55490301077772,0.41603224149256,0.32106291979146,0.28693889465164,0.30771183698882,0.38313914864742005,0.4685543123954,0.5586009145794,0.6467462643135999,0.7280655821524801
16,0.601963434226,0.5604629965506,0.43195078946008,0.29925060512094004,0.20875902602478,0.18137853369482,0.20107981155878002,0.26801054411208,0.34392199726719996,0.427970707857,0.5084934482496,0.5929201114584
17,0.440865221984,0.3992206964328,0.28170365517316,0.1638527400444,0.09232304834829999,0.07261926901152,0.09081157929316,0.14034602961258,0.19702366428360002,0.269601564078,0.3421671940544,0.4249927646096
18,0.271576407498,0.23193051169200002,0.13834449632212,0.03622580711816,0.0,0.0,0.0,0.01252204280712,0.0805012820678,0.1331919851724,0.1924319598432,0.25779810569216
19,0.127595964694,0.0901955712834,0.0063232764188,0.0,0.0,0.0,0.0,0.0,0.0,0.0006865566246,0.0525251572032,0.11441749276496
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
