projectId,designId,designName,panelIndex,month,avgDailyPower
524,763,customFit,0,1,2.179754303188
524,763,customFit,0,2,1.8878480227266
524,763,customFit,0,3,1.375566228432
524,763,customFit,0,4,0.93079783186368
524,763,customFit,0,5,0.63433293422576
524,763,customFit,0,6,0.51799737258346
524,763,customFit,0,7,0.55724089825294
524,763,customFit,0,8,0.80078325079962
524,763,customFit,0,9,1.1907462580882
524,763,customFit,0,10,1.6286318632122
524,763,customFit,0,11,2.0616584590272
524,763,customFit,0,12,2.3304878524576
524,763,customFit,1,1,2.168993907674
524,763,customFit,1,2,2.0237595706284
524,763,customFit,1,3,1.66378590160464
524,763,customFit,1,4,1.2926954134138
524,763,customFit,1,5,1.04227889437518
524,763,customFit,1,6,0.91149022707666
524,763,customFit,1,7,0.9414448002949
524,763,customFit,1,8,1.23194436427656
524,763,customFit,1,9,1.5547218447948
524,763,customFit,1,10,1.8513016460862
524,763,customFit,1,11,2.1428879564576
524,763,customFit,1,12,2.30030921314656
524,763,customFit,2,1,2.244752067998
524,763,customFit,2,2,2.1156807156408
524,763,customFit,2,3,1.7467290284906
524,763,customFit,2,4,1.39218034916554
524,763,customFit,2,5,1.13596109098472
524,763,customFit,2,6,1.0260033640472
524,763,customFit,2,7,1.04556718440086
524,763,customFit,2,8,1.3054714976919
524,763,customFit,2,9,1.6205623316872
524,763,customFit,2,10,1.9116298207314
524,763,customFit,2,11,2.17115578064
524,763,customFit,2,12,2.34227501175888
524,764,mostPopular,0,1,2.179754303188
524,764,mostPopular,0,2,1.8878480227266
524,764,mostPopular,0,3,1.375566228432
524,764,mostPopular,0,4,0.93079783186368
524,764,mostPopular,0,5,0.63433293422576
524,764,mostPopular,0,6,0.51799737258346
524,764,mostPopular,0,7,0.55724089825294
524,764,mostPopular,0,8,0.80078325079962
524,764,mostPopular,0,9,1.1907462580882
524,764,mostPopular,0,10,1.6286318632122
524,764,mostPopular,0,11,2.0616584590272
524,764,mostPopular,0,12,2.3304878524576
524,764,mostPopular,1,1,2.168993907674
524,764,mostPopular,1,2,2.0237595706284
524,764,mostPopular,1,3,1.66378590160464
524,764,mostPopular,1,4,1.2926954134138
524,764,mostPopular,1,5,1.04227889437518
524,764,mostPopular,1,6,0.91149022707666
524,764,mostPopular,1,7,0.9414448002949
524,764,mostPopular,1,8,1.23194436427656
524,764,mostPopular,1,9,1.5547218447948
524,764,mostPopular,1,10,1.8513016460862
524,764,mostPopular,1,11,2.1428879564576
524,764,mostPopular,1,12,2.30030921314656
524,764,mostPopular,2,1,2.244752067998
524,764,mostPopular,2,2,2.1156807156408
524,764,mostPopular,2,3,1.7467290284906
524,764,mostPopular,2,4,1.39218034916554
524,764,mostPopular,2,5,1.13596109098472
524,764,mostPopular,2,6,1.0260033640472
524,764,mostPopular,2,7,1.04556718440086
524,764,mostPopular,2,8,1.3054714976919
524,764,mostPopular,2,9,1.6205623316872
524,764,mostPopular,2,10,1.9116298207314
524,764,mostPopular,2,11,2.17115578064
524,764,mostPopular,2,12,2.34227501175888
524,765,maxValue,0,1,2.179754303188
524,765,maxValue,0,2,1.8878480227266
524,765,maxValue,0,3,1.375566228432
524,765,maxValue,0,4,0.93079783186368
524,765,maxValue,0,5,0.63433293422576
524,765,maxValue,0,6,0.51799737258346
524,765,maxValue,0,7,0.55724089825294
524,765,maxValue,0,8,0.80078325079962
524,765,maxValue,0,9,1.1907462580882
524,765,maxValue,0,10,1.6286318632122
524,765,maxValue,0,11,2.0616584590272
524,765,maxValue,0,12,2.3304878524576
524,765,maxValue,1,1,2.168993907674
524,765,maxValue,1,2,2.0237595706284
524,765,maxValue,1,3,1.66378590160464
524,765,maxValue,1,4,1.2926954134138
524,765,maxValue,1,5,1.04227889437518
524,765,maxValue,1,6,0.91149022707666
524,765,maxValue,1,7,0.9414448002949
524,765,maxValue,1,8,1.23194436427656
524,765,maxValue,1,9,1.5547218447948
524,765,maxValue,1,10,1.8513016460862
524,765,maxValue,1,11,2.1428879564576
524,765,maxValue,1,12,2.30030921314656
524,765,maxValue,2,1,2.244752067998
524,765,maxValue,2,2,2.1156807156408
524,765,maxValue,2,3,1.7467290284906
524,765,maxValue,2,4,1.39218034916554
524,765,maxValue,2,5,1.13596109098472
524,765,maxValue,2,6,1.0260033640472
524,765,maxValue,2,7,1.04556718440086
524,765,maxValue,2,8,1.3054714976919
524,765,maxValue,2,9,1.6205623316872
524,765,maxValue,2,10,1.9116298207314
524,765,maxValue,2,11,2.17115578064
524,765,maxValue,2,12,2.34227501175888
